week_ending,class_date,batchset,class_topic,class_rating,total_rated,star_1,star_2,star_3,star_4,star_5,top_improvement,top_compliment,slack_message_ts,permalink
2026-05-11,2026-05-07,SST DA 101 2029 Group A,Exploring the Entertainment Dataset – Data Loading and Cleaning,4.88,8,0,0,0,1,7,Other,Efficient Pace of Teaching,1778157163.038989,https://scalerinternal.slack.com/archives/D0A8QEGSL3Y/p1778157163038989
2026-05-11,2026-05-08,SST DA 101 2029 Group B,Data Analytics using Advanced Python,4.42,12,1,0,1,1,9,Communication style and delivery,Organized Structure of Content Delivery,1778250636.566339,https://scalerinternal.slack.com/archives/D0A8QEGSL3Y/p1778250636566339
2026-05-11,2026-05-09,SST DA 101 2029 Group B,Data Analytics with Numpy,4.56,9,0,0,1,2,6,Pace of Teaching,Organized Structure of Content Delivery,1778319041.953149,https://scalerinternal.slack.com/archives/D0A8QEGSL3Y/p1778319041953149
2026-05-11,2026-05-09,SST DA 101 2029 Group A,Data Analytics with Numpy,4.57,7,0,0,1,1,5,Communication style and delivery,Organized Structure of Content Delivery,1778331639.103349,https://scalerinternal.slack.com/archives/D0A8QEGSL3Y/p1778331639103349
2026-05-18,2026-05-14,SST DA 101 2029 Group A,Exploring the Entertainment Dataset – Data Loading and Cleaning using Pandas,4.57,7,0,0,0,3,4,Pace of Teaching,Efficient Pace of Teaching,1778765440.056359,https://scalerinternal.slack.com/archives/D0A8QEGSL3Y/p1778765440056359
